revenue,averageRating
19.828438,6.3815823
16.965437,7.0424185
16.994713,6.6880684
18.043037,7.758353
17.756323,5.733047
18.469902,6.014126
17.949577,5.3534794
18.625494,6.8862433
18.938465,5.1128283
17.399324,6.992161
16.860981,5.6126595
20.533949,7.144478
21.26617,8.422125
18.32382,7.2723217
17.343918,6.3139067
19.213785,6.8827863
17.701475,7.7532454
17.693693,7.2989535
18.249409,7.5942435
17.804636,6.5248303
19.597504,6.9529138
18.46263,6.4976006
18.78894,7.957207
18.212112,7.5115776
18.482723,8.150012
20.018929,6.494245
17.391724,5.3690515
17.714214,5.569059
17.153069,6.7616725
17.188858,6.7658415
18.059187,6.9833927
17.577087,5.1263423
18.376892,5.6395173
16.50162,7.5532613
17.476942,5.8404174
17.678667,6.084016
18.27324,6.948225
16.595715,5.017266
17.808,7.188737
16.972393,6.719063
17.230486,6.846141
16.969172,5.8144975
17.183966,4.2794094
18.302845,6.284983
17.999542,6.5282326
17.676842,7.2593904
19.207464,5.4592643
18.148186,6.0385814
18.196991,5.07884
18.042597,8.158974
18.833597,7.2876034
18.180069,5.854576
18.517954,7.244619
17.98901,7.054281
17.695963,6.1974998
19.74298,6.0092387
17.233015,7.396444
21.139578,7.3953648
18.453209,7.623013
18.91211,6.7614603
18.277388,5.906941
18.216822,6.746835
18.222061,7.115047
17.294676,7.252588
17.99299,6.498535
18.344603,6.7083344
16.218645,7.6037297
18.228195,7.1386275
20.352488,6.9649577
18.549118,5.023229
19.525673,6.51779
18.52053,3.4595053
18.245039,6.1835685
18.394205,6.270677
16.96505,5.285328
17.291363,6.4450374
17.917883,6.1390905
17.701574,6.1442657
17.435814,5.1975145
16.284958,6.3256407
18.267866,6.7788734
18.515465,8.000733
20.23489,6.6641507
18.654402,5.8058324
16.110569,7.390403
19.139345,6.3268857
19.05577,7.1380963
16.710304,8.445726
17.377617,5.7553706
17.466232,7.236161
17.975595,6.249648
18.021692,4.0721164
20.449986,8.949523
18.93184,7.333398
18.438072,7.367593
17.213352,7.3768563
19.054373,6.1115584
18.999584,7.587466
18.45872,7.7290335
19.343283,7.6582475
17.14069,7.6145816
18.614729,6.4445577
17.246397,6.460256
17.416782,5.222221
19.55784,7.40221
19.090078,7.392289
17.789476,7.592555
19.380493,8.00089
18.447382,5.165873
18.931202,6.170976
18.866234,5.821316
18.281523,6.0817075
20.56842,6.6119246
19.711243,5.8458123
16.351261,4.636556
18.408354,7.6906133
15.600254,7.1267514
16.733858,6.794776
16.426405,6.546406
17.873465,6.407776
17.652504,5.820796
19.963799,6.5290647
16.811602,7.512918
15.329054,5.7971764
17.043625,6.3524833
17.099941,8.206744
18.499454,7.462328
18.705235,6.951075
17.700115,7.2097206
16.784983,7.6218705
19.98469,6.2995706
18.007153,6.537835
17.884693,7.149018
17.657578,6.011611
18.88839,6.8028593
19.676378,6.3722754
18.708508,7.5827785
19.074175,5.905953
18.25288,7.9168115
17.907295,6.449543
20.232584,7.2474523
17.41067,6.6392784
18.637575,7.6473346
17.810709,6.6023097
17.80117,6.3786473
17.996704,7.224634
20.416914,7.9599485
18.083838,7.280095
18.223448,5.098914
16.755941,6.8576093
18.427921,7.333869
19.838232,7.0555983
18.621906,5.7581525
18.392809,5.9496956
18.205662,7.313233
18.541103,6.795403
17.131622,7.3498173
19.35547,5.9638433
17.961006,5.9347115
17.240463,7.4987164
19.184948,7.200074
18.092255,6.472804
16.996647,6.9433265
18.246948,5.797647
18.660452,8.2005825
20.73586,7.7822204
18.770664,6.034906
18.033398,7.249589
17.479578,6.997607
16.950045,5.898363
19.102713,7.9896483
18.11165,7.0256305
19.49636,6.5730753
18.739676,5.8647447
16.207384,5.595662
19.007298,6.6644773
18.236666,7.6206822
18.625187,6.706474
17.48946,5.980203
18.08202,7.336053
18.661873,5.980315
17.538351,5.360777
16.904848,6.1399946
17.907423,7.0092435
18.51156,7.1321716
17.807283,7.555658
17.625444,5.126653
18.158274,6.6725645
20.335865,6.3252206
16.723167,8.202562
18.965782,8.240928
19.858133,7.803681
17.679918,7.4052973
21.123068,8.132752
20.692871,7.148194
16.558887,5.603802
19.051325,7.4543977
16.961393,6.170352
19.036402,5.991944
18.438395,6.8595896
17.76121,6.871137
15.437426,7.132706
18.709808,5.2007365
17.990065,6.1178913
16.36479,7.9512863
18.38397,7.700838
17.529518,5.832811
17.191845,5.7221045
18.029922,7.7377677
17.686584,6.813994
17.750767,5.609255
